scene_id,date,platform,product_type,instrument_mode,polarizations,orbit_state,bbox,center_lat,center_lon
S1A_IW_GRDH_1SDV_20181031T122928_20181031T122957_024380_02AB8D_6447_COG,2018-10-31 12:29:28.299413+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[82.517906, 23.996069, 85.387123, 26.167168]",25.0816185,83.9525145
S1A_IW_GRDH_1SDV_20181031T123047_20181031T123112_024380_02AB8D_B853_COG,2018-10-31 12:30:47.322885+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[81.610916, 28.770695, 84.500671, 30.694843]",29.732769,83.0557935
S1A_IW_GRDH_1SDV_20181031T123227_20181031T123252_024380_02AB8D_E4F3_COG,2018-10-31 12:32:27.323279+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[80.175041, 34.802708, 83.359795, 36.701778]",35.752243,81.76741799999999
S1A_IW_GRDH_1SDV_20190528T124019_20190528T124044_027428_03181D_640A_COG,2019-05-28 12:40:19.848841+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[78.462433, 33.56805, 81.534485, 35.477936]",34.522993,79.998459
S1A_IW_GRDH_1SDV_20190529T113851_20190529T113916_027442_03188B_66DA_COG,2019-05-29 11:38:51.287081+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[95.866402, 19.528242, 98.593513, 21.46821]",20.498226,97.2299575
S1A_IW_GRDH_1SDV_20190529T114146_20190529T114211_027442_03188B_2E61_COG,2019-05-29 11:41:46.287355+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[93.641594, 30.100388, 96.604874, 32.016937]",31.0586625,95.123234
S1A_IW_GRDH_1SDV_20190529T114236_20190529T114301_027442_03188B_58C6_COG,2019-05-29 11:42:36.286558+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[92.947479, 33.115669, 96.029915, 35.023472]",34.0695705,94.488697
S1A_IW_GRDH_1SDV_20190529T132041_20190529T132106_027443_031893_966D_COG,2019-05-29 13:20:41.457017+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[68.771919, 30.727369, 71.745872, 32.641682]",31.6845255,70.2588955
S1A_IW_GRDH_1SDV_20190529T234403_20190529T234428_027449_0318C4_8E4A_COG,2019-05-29 23:44:03.557789+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[93.074318, 35.79847, 96.235107, 37.69577]",36.74712,94.6547125
S1A_IW_GRDH_1SDV_20190530T012436_20190530T012501_027450_0318C9_0A9F_COG,2019-05-30 01:24:36.991918+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[67.130127, 29.232946, 70.064789, 31.150648]",30.191797,68.597458
S1A_IW_GRDH_1SDV_20190530T122005_20190530T122030_027457_031901_FDA7_COG,2019-05-30 12:20:05.709170+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[85.504852, 19.871822, 88.238411, 21.813219]",20.8425205,86.8716315
S1A_IW_GRDH_1SDV_20190530T122235_20190530T122300_027457_031901_59C0_COG,2019-05-30 12:22:35.709622+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[83.631477, 28.94113, 86.571594, 30.859602]",29.900366,85.10153550000001
S1A_IW_GRDH_1SDV_20190531T002648_20190531T002713_027464_031943_5EE6_COG,2019-05-31 00:26:48.437904+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[81.649857, 30.001518, 84.582634, 31.910858]",30.956188,83.11624549999999
S1A_IW_GRDH_1SDV_20190531T003033_20190531T003058_027464_031943_6DAD_COG,2019-05-31 00:30:33.437183+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[79.096848, 16.402525, 81.740425, 18.344704]",17.373614500000002,80.41863649999999
S1A_IW_GRDH_1SDV_20190531T130413_20190531T130438_027472_031986_D011_COG,2019-05-31 13:04:13.890609+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[72.864372, 30.708261, 75.839287, 32.621098]",31.6646795,74.35182950000001
S1A_IW_GRDH_1SDV_20190531T232949_20190531T233014_027478_0319B7_6AF9_COG,2019-05-31 23:29:49.802832+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[95.635139, 27.744884, 98.494919, 29.668127]",28.7065055,97.065029
S1A_IW_GRDH_1SDV_20190531T233039_20190531T233104_027478_0319B7_C5B5_COG,2019-05-31 23:30:39.802845+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[95.077988, 24.722805, 97.887917, 26.649702]",25.6862535,96.4829525
S1A_IW_GRDH_1SDV_20190531T233129_20190531T233154_027478_0319B7_B1E0_COG,2019-05-31 23:31:29.802858+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[94.490982, 21.704271, 97.243858, 23.636957]",22.670614,95.86742
S1A_IW_GRDH_1SDV_20190531T233154_20190531T233219_027478_0319B7_9752_COG,2019-05-31 23:31:54.802864+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[94.201485, 20.193604, 96.924614, 22.130205]",21.1619045,95.5630495
S1A_IW_GRDH_1SDV_20190531T233309_20190531T233340_027478_0319B7_0B49_COG,2019-05-31 23:33:09.802883+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[93.258949, 15.291778, 95.986664, 17.60685]",16.449314,94.6228065
S1A_IW_GRDH_1SDV_20190627T114909_20190627T114934_027865_032557_CAA7_COG,2019-06-27 11:49:09.974913+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[92.283142, 26.97344, 95.112701, 28.907686]",27.940563,93.6979215
S1A_IW_GRDH_1SDV_20190627T114934_20190627T114959_027865_032557_AA9D_COG,2019-06-27 11:49:34.974754+00:00,sentinel-1a,IW_GRDH_1S,IW,"['VV', 'VH']",,"[91.947769, 28.49268, 94.885162, 30.412107]",29.4523935,93.4164655
